Rank,State,Total_Energy_Consumed
1,Louisiana,960
2,Wyoming,885
3,North Dakota,836
4,Alaska,822
5,Iowa,496
6,Texas,472
7,Nebraska,457
8,South Dakota,441
9,Oklahoma,418
10,West Virginia,416
11,Indiana,406
12,Montana,399
13,Mississippi,394
14,Alabama,390
15,Kentucky,372
16,Kansas,369
17,Arkansas,352
18,Minnesota,329
19,South Carolina,327
20,New Mexico,327
21,Tennessee,323
22,Idaho,322
23,Ohio,312
24,Wisconsin,312
25,Illinois,303
26,Pennsylvania,298
27,Maine,294
28,Missouri,283
29,Washington,282
30,Delaware,282
31,Michigan,278
32,Virginia,272
33,Georgia,269
34,Utah,267
35,Colorado,261
36,Oregon,249
37,North Carolina,244
38,District of Columbia,241
39,New Jersey,240
40,Nevada,238
41,New Hampshire,235
42,Maryland,218
43,Vermont,216
44,Arizona,209
45,Massachusetts,208
46,Connecticut,203
47,Florida,201
48,California,200
49,Hawaii,199
50,New York,188
51,Rhode Island,174
